university,program_name,degree_level,role_groups,missing_skill,job_frequency,category
American University of Armenia,Data Science,Bachelor,Data / ML / AI,REST API,7,Web & Mobile Frameworks
American University of Armenia,Data Science,Bachelor,Data / ML / AI,PostgreSQL,7,Databases
American University of Armenia,Data Science,Bachelor,Data / ML / AI,Data Pipelines,7,Data & ML
American University of Armenia,Data Science,Bachelor,Data / ML / AI,Product Analytics,7,Data & ML
American University of Armenia,Data Science,Bachelor,Data / ML / AI,TensorFlow,6,Data & ML
American University of Armenia,Data Science,Bachelor,Data / ML / AI,Databricks,6,Data & ML
American University of Armenia,Data Science,Bachelor,Data / ML / AI,Apache Spark,6,Data & ML
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,REST API,93,Web & Mobile Frameworks
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,JavaScript,66,Programming Languages
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,TypeScript,57,Programming Languages
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,React,54,Web & Mobile Frameworks
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,Python,52,Programming Languages
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,Node.js,47,Web & Mobile Frameworks
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,Git,36,DevOps & Cloud
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,Microservices Architecture,36,Software Engineering
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,SQL,33,Databases
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,C#,33,Programming Languages
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,PostgreSQL,33,Databases
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,AWS,29,DevOps & Cloud
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,Docker,28,DevOps & Cloud
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,Java,27,Programming Languages
American University of Armenia,Engineering Sciences,Bachelor,Hardware / Embedded + Software Engineering,MySQL,25,Databases
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,Python,14,Programming Languages
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,Agile,10,Software Engineering
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,AWS,9,DevOps & Cloud
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,SAP Configuration,8,Other Technical
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,Jira,8,Other Technical
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,SAP S/4HANA,7,Other Technical
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,REST API,7,Web & Mobile Frameworks
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,Windows,6,Other Technical
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,SAP Logistics,6,Other Technical
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,Scrum,6,Software Engineering
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,SAP FICO,6,Other Technical
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,Cloud Platforms,5,DevOps & Cloud
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,PHP,5,Programming Languages
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,Kubernetes,5,DevOps & Cloud
American University of Armenia,Industrial Engineering and Systems Management,Master,IT Support / Admin / ERP + Technical Management,Distributed Systems,5,Software Engineering
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,REST API,93,Web & Mobile Frameworks
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,JavaScript,66,Programming Languages
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,TypeScript,57,Programming Languages
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,React,54,Web & Mobile Frameworks
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,Node.js,47,Web & Mobile Frameworks
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,Git,36,DevOps & Cloud
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,Microservices Architecture,36,Software Engineering
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,SQL,33,Databases
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,C#,33,Programming Languages
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,PostgreSQL,33,Databases
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,AWS,29,DevOps & Cloud
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,Docker,28,DevOps & Cloud
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,Java,27,Programming Languages
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,MySQL,25,Databases
National Polytechnic University of Armenia,Computer Engineering,Bachelor,Hardware / Embedded + Software Engineering,CI/CD,25,DevOps & Cloud
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,REST API,93,Web & Mobile Frameworks
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,JavaScript,66,Programming Languages
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,TypeScript,57,Programming Languages
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,React,54,Web & Mobile Frameworks
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,Node.js,47,Web & Mobile Frameworks
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,Git,36,DevOps & Cloud
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,Microservices Architecture,36,Software Engineering
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,SQL,33,Databases
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,C#,33,Programming Languages
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,PostgreSQL,33,Databases
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,AWS,29,DevOps & Cloud
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,Docker,28,DevOps & Cloud
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,Java,27,Programming Languages
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,MySQL,25,Databases
National Polytechnic University of Armenia,Computer Engineering,Master,Hardware / Embedded + Software Engineering,CI/CD,25,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,Python,173,Programming Languages
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,REST API,120,Web & Mobile Frameworks
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,TypeScript,78,Programming Languages
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,AWS,72,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,React,60,Web & Mobile Frameworks
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,CI/CD,59,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,Git,52,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,PostgreSQL,52,Databases
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,Node.js,52,Web & Mobile Frameworks
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,Docker,51,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,Microservices Architecture,47,Software Engineering
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,Machine Learning,44,Data & ML
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,Java,43,Programming Languages
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,Kubernetes,41,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,ALL,C#,38,Programming Languages
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,Python,173,Programming Languages
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,REST API,120,Web & Mobile Frameworks
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,TypeScript,78,Programming Languages
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,AWS,72,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,React,60,Web & Mobile Frameworks
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,CI/CD,59,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,Git,52,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,PostgreSQL,52,Databases
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,Node.js,52,Web & Mobile Frameworks
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,Docker,51,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,Microservices Architecture,47,Software Engineering
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,Machine Learning,44,Data & ML
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,Java,43,Programming Languages
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,Kubernetes,41,DevOps & Cloud
National Polytechnic University of Armenia,Informatics (Computer Science),Master,ALL,C#,38,Programming Languages
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Python,6,Programming Languages
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Identity and Access Management,5,Security
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Incident Response,4,Other Technical
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Compliance Management,3,Other Technical
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Terraform,3,DevOps & Cloud
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Penetration Testing,3,Other Technical
National Polytechnic University of Armenia,Information Security,Bachelor,Security,CI/CD,3,DevOps & Cloud
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Single Sign-On (SSO),2,Other Technical
National Polytechnic University of Armenia,Information Security,Bachelor,Security,SIEM,2,Other Technical
National Polytechnic University of Armenia,Information Security,Bachelor,Security,AWS,2,DevOps & Cloud
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Microservices Architecture,2,Software Engineering
National Polytechnic University of Armenia,Information Security,Bachelor,Security,GitLab,2,DevOps & Cloud
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Security Auditing,2,Other Technical
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Active Directory,2,Security
National Polytechnic University of Armenia,Information Security,Bachelor,Security,Okta,2,Security
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,REST API,98,Web & Mobile Frameworks
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,JavaScript,67,Programming Languages
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,TypeScript,58,Programming Languages
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,React,55,Web & Mobile Frameworks
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,Node.js,47,Web & Mobile Frameworks
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,Git,37,DevOps & Cloud
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,Microservices Architecture,36,Software Engineering
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,PostgreSQL,35,Databases
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,C#,33,Programming Languages
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,AWS,32,DevOps & Cloud
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,Docker,29,DevOps & Cloud
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,Java,27,Programming Languages
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,MySQL,25,Databases
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,CI/CD,25,DevOps & Cloud
National Polytechnic University of Armenia,Information Systems,Bachelor,IT Support / Admin / ERP + Software Engineering,CSS,23,Web & Mobile Frameworks
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,REST API,98,Web & Mobile Frameworks
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,JavaScript,67,Programming Languages
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,TypeScript,58,Programming Languages
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,React,55,Web & Mobile Frameworks
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,Node.js,47,Web & Mobile Frameworks
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,Git,37,DevOps & Cloud
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,Microservices Architecture,36,Software Engineering
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,PostgreSQL,35,Databases
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,C#,33,Programming Languages
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,AWS,32,DevOps & Cloud
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,Docker,29,DevOps & Cloud
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,Java,27,Programming Languages
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,MySQL,25,Databases
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,CI/CD,25,DevOps & Cloud
National Polytechnic University of Armenia,Information Systems,Master,IT Support / Admin / ERP + Software Engineering,CSS,23,Web & Mobile Frameworks
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,Python,173,Programming Languages
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,TypeScript,78,Programming Languages
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,AWS,72,DevOps & Cloud
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,React,60,Web & Mobile Frameworks
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,CI/CD,59,DevOps & Cloud
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,Git,52,DevOps & Cloud
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,PostgreSQL,52,Databases
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,Node.js,52,Web & Mobile Frameworks
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,Docker,51,DevOps & Cloud
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,Microservices Architecture,47,Software Engineering
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,Machine Learning,44,Data & ML
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,Java,43,Programming Languages
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,Kubernetes,41,DevOps & Cloud
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,C#,38,Programming Languages
National Polytechnic University of Armenia,Information Technologies,Bachelor,ALL,Linux,37,DevOps & Cloud
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,TypeScript,68,Programming Languages
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,React,54,Web & Mobile Frameworks
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,Node.js,46,Web & Mobile Frameworks
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,CI/CD,44,DevOps & Cloud
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,Git,43,DevOps & Cloud
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,Microservices Architecture,39,Software Engineering
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,Java,38,Programming Languages
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,PostgreSQL,35,Databases
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,AWS,34,DevOps & Cloud
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,Docker,29,DevOps & Cloud
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,MySQL,25,Databases
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,Go,22,Programming Languages
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,.NET,22,Web & Mobile Frameworks
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,PHP,19,Programming Languages
National Polytechnic University of Armenia,Software Engineering,Bachelor,Software Engineering + QA / Testing,C++,19,Programming Languages
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,TypeScript,68,Programming Languages
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,React,54,Web & Mobile Frameworks
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,Node.js,46,Web & Mobile Frameworks
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,CI/CD,44,DevOps & Cloud
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,Git,43,DevOps & Cloud
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,Microservices Architecture,39,Software Engineering
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,Java,38,Programming Languages
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,PostgreSQL,35,Databases
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,AWS,34,DevOps & Cloud
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,Docker,29,DevOps & Cloud
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,MySQL,25,Databases
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,Go,22,Programming Languages
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,.NET,22,Web & Mobile Frameworks
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,PHP,19,Programming Languages
National Polytechnic University of Armenia,Software Engineering,Master,Software Engineering + QA / Testing,C++,19,Programming Languages
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,SQL,54,Databases
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,Machine Learning,26,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,Large Language Models,25,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,A/B Testing,18,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,Data Visualization,18,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,AWS,17,DevOps & Cloud
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,ETL,13,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,Power BI,11,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,Statistical Analysis,11,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,Retrieval-Augmented Generation,11,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,Generative AI,10,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,Natural Language Processing,10,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,PostgreSQL,9,Databases
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,MLOps,9,Data & ML
National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,Data / ML / AI + IT Support / Admin / ERP,Business Intelligence,9,Data & ML
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,REST API,120,Web & Mobile Frameworks
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,JavaScript,79,Programming Languages
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,TypeScript,78,Programming Languages
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,AWS,72,DevOps & Cloud
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,React,60,Web & Mobile Frameworks
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,CI/CD,59,DevOps & Cloud
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,Git,52,DevOps & Cloud
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,PostgreSQL,52,Databases
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,Node.js,52,Web & Mobile Frameworks
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,Docker,51,DevOps & Cloud
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,Microservices Architecture,47,Software Engineering
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,Java,43,Programming Languages
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,Kubernetes,41,DevOps & Cloud
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,C#,38,Programming Languages
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,ALL,Linux,37,DevOps & Cloud
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,ALL,REST API,120,Web & Mobile Frameworks
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,ALL,JavaScript,79,Programming Languages
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,ALL,TypeScript,78,Programming Languages
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,ALL,AWS,72,DevOps & Cloud
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,ALL,React,60,Web & Mobile Frameworks
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,ALL,CI/CD,59,DevOps & Cloud
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,ALL,Git,52,DevOps & Cloud
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,ALL,PostgreSQL,52,Databases
National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,ALL,Node.js,52,Web & Mobile Frameworks
