phrase,esco_uri,esco_label,cosine_sim,matched
60 443310 benefits,,,0.4967,False
800 100 stock,,,0.5425,False
9am 5pm estbachelor,,,0.3769,False
a2 b1 level,,,0.327,False
a2p application person,,,0.4172,False
abalta,,,0.6462,False
abap,http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,ABAP,1.0,True
abap backend sap,,,0.685,False
abap nodejs solid,,,0.5995,False
abap rap,,,0.72,False
abap ui5 developer,,,0.6496,False
abilities,,,0.4649,False
abilities aid event,,,0.4517,False
abilities areas,,,0.5001,False
abilities areas linguistic,,,0.5304,False
abilities competencies,,,0.5752,False
abilities debate,,,0.4903,False
abilities debate language,,,0.5363,False
abilities department feedconstruct,,,0.4637,False
abilities design,,,0.5309,False
abilities discussion,,,0.5096,False
abilities foreign,,,0.4975,False
abilities provide aid,,,0.5305,False
abilities skills,,,0.6033,False
abilities skills vocabulary,,,0.5331,False
abilities texts,,,0.5505,False
abilities translate texts,http://data.europa.eu/esco/skill/449f0945-4943-49f9-bd98-edfdfd7c00ba,translate texts,0.7668,True
ability carry conversations,,,0.5951,False
ability design deploy,,,0.5508,False
ability paraphrase,,,0.4143,False
ability read sql,,,0.631,False
ability troubleshoot technical,,,0.6744,False
ability willingness troubleshoot,,,0.6058,False
able demonstrate,,,0.6358,False
abovyan site,,,0.3432,False
abstract classes interfaces,,,0.532,False
abstract data,,,0.5816,False
abstract data types,,,0.5221,False
abstract machines investigates,,,0.5831,False
abstracts reports,http://data.europa.eu/esco/skill/6c06c0f6-3510-4ef3-ab51-b0bec7f209ba,make abstracts,0.7996,True
abuse monitoring document,,,0.5329,False
ac dc digital,,,0.5697,False
acba bank looking,,,0.4809,False
accelerate automate research,,,0.5746,False
accelerate technology delivery,,,0.5226,False
accelerating commercialization,,,0.4764,False
accelerating commercialization innovative,,,0.5169,False
accelerator,,,0.4602,False
accelerator kernel development,,,0.4918,False
accent,,,0.6549,False
acceptance,,,0.4164,False
acceptance criteria,,,0.4785,False
acceptance testing,,,0.5651,False
access control,http://data.europa.eu/esco/skill/5da73370-f6b9-417d-a94c-09bf01f84aa2,use access control software,0.8905,True
access control violations,,,0.6796,False
access patterns,,,0.5801,False
accessibility,http://data.europa.eu/esco/skill/e8ef317f-c880-4c7a-929f-e08053f976bb,develop strategies for accessibility,0.8658,True
accessible,,,0.5965,False
accommodation,,,0.7148,False
accompany,http://data.europa.eu/esco/skill/ab89ad86-1098-44bb-9465-05af5624557c,accompany people,0.7782,True
accompany chemistry,http://data.europa.eu/esco/skill/cde9911c-f92e-4de1-811f-336e177ac4ce,chemistry,0.7783,True
accompany chemistry students,http://data.europa.eu/esco/skill/297259c4-7f91-455b-bf24-1ce7f9d4cc63,teach chemistry,0.8044,True
accompany electricity magnetism,,,0.6431,False
accompany mechanics students,,,0.6704,False
accomplished,,,0.4237,False
accomplished approval,,,0.5205,False
accordance,,,0.4357,False
according data,,,0.6088,False
accordingly,,,0.402,False
account,,,0.6293,False
account cultivate,,,0.6248,False
account data perform,,,0.6317,False
account environments landing,,,0.5154,False
account linear,,,0.4896,False
account management,http://data.europa.eu/esco/skill/e2e15494-65b9-4af5-8b86-53fb51e7e022,manage accounts,0.8658,True
account management skillsproactive,,,0.7054,False
account manager,http://data.europa.eu/esco/skill/e2e15494-65b9-4af5-8b86-53fb51e7e022,manage accounts,0.7899,True
account manager feedconstruct,,,0.45,False
account manager night,,,0.5019,False
account needed,,,0.5138,False
account preferably igaming,,,0.4788,False
accountability,http://data.europa.eu/esco/skill/f90d4810-8bac-4e5e-b870-3e35a4138ff7,accept own accountability,0.8371,True
accountability ownership financial,,,0.7016,False
accountable,,,0.7349,False
accountancy background thorough,,,0.4935,False
accountant,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,0.8234,True
accountant expect strong,,,0.5196,False
accountant game join,,,0.5367,False
accountant join,,,0.6133,False
accountant qaccountancy,,,0.5779,False
accountants want,,,0.6772,False
accounting,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,1.0,True
accounting analysis course,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,0.7539,True
accounting department softconstruct,,,0.6772,False
accounting ensuring timely,,,0.6626,False
accounting euclidean algorithms,,,0.5186,False
accounting experience tech,,,0.6736,False
accounting expertise configuring,,,0.6769,False
accounting finance,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,0.8893,True
accounting finance related,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,0.8435,True
accounting financial,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,0.8774,True
accounting financial reporting,http://data.europa.eu/esco/skill/dd7c9dfd-6e2c-46fd-aefc-369402d0200c,create a financial report,0.789,True
accounting knowledgeunderstanding sap,,,0.6258,False
accounting reporting,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,0.7914,True
accounting reporting specialist,,,0.7218,False
accounting role supports,,,0.6822,False
accounting services clients,,,0.7255,False
accounting signature policyinteract,,,0.5877,False
accounting staff requirements,,,0.6256,False
accounting standards proficiency,,,0.6824,False
accounts,http://data.europa.eu/esco/skill/e2e15494-65b9-4af5-8b86-53fb51e7e022,manage accounts,0.761,True
accounts payable,,,0.5639,False
accounts payable accountant,,,0.6814,False
accounts payable experience,,,0.5165,False
accounts payable functions,,,0.5684,False
accounts proficiency crm,,,0.528,False
accounts receivable,http://data.europa.eu/esco/skill/68b51538-b056-4cb3-bb15-ab8c3e576cc9,follow up accounts receivables,0.8412,True
accountsability handle night,,,0.5786,False
accruals ready,,,0.4729,False
accuracy,,,0.5968,False
accuracy consistency,,,0.5848,False
accuracy design stages,,,0.5904,False
accuracy formatting,,,0.6104,False
accuracy integrity,,,0.635,False
accuracy integrity population,,,0.5386,False
accurate,,,0.3746,False
accurate execution partner,,,0.4865,False
accurate recording,,,0.6096,False
accurate records,,,0.5398,False
accurate timely,,,0.6315,False
accurate trustworthy high,,,0.5631,False
achieve carbon neutrality,,,0.6174,False
achievement,,,0.5437,False
achievements,,,0.5626,False
acknowledged industry,,,0.5263,False
acoustics psychoacoustics,http://data.europa.eu/esco/skill/c4020d90-e0d9-4ab3-b5cd-d2b560c4f596,psychoacoustics,0.8933,True
acquaint,,,0.3916,False
acquaint main,,,0.334,False
acquaint numerical,,,0.4602,False
acquaint student numerical,,,0.4386,False
acquaint students sql,,,0.657,False
acquainted,,,0.3981,False
acquainted expert systems,,,0.6346,False
acquire,,,0.6171,False
acquire evaluating,,,0.5922,False
acquire evaluating complexity,,,0.6241,False
acquire parse analyze,,,0.4321,False
acquire skills,http://data.europa.eu/esco/skill/1835a7c1-600e-4b16-a0af-fb4f7d8d77b9,develop personal skills,0.778,True
acquired conduct,,,0.579,False
acquired designing,,,0.6431,False
acquired designing software,,,0.7477,False
acquired framework,,,0.5716,False
acquired framework specialization,,,0.5979,False
acquired linguistic,,,0.6814,False
acquired previous,,,0.4753,False
acquirer,,,0.5579,False
acquiring demonstrating,,,0.719,False
acquiring demonstrating skills,,,0.6901,False
acquiring payfac models,,,0.4857,False
acquisition analysis,,,0.5931,False
acquisition digital marketing,,,0.7175,False
acquisition initiatives analyze,,,0.7184,False
acquisition retention,,,0.5287,False
acquisition specialist,,,0.5634,False
act,,,0.6466,False
act engineering lead,,,0.6615,False
acting,http://data.europa.eu/esco/skill/74be20a7-fcfe-4715-bb62-8937a547a982,acting techniques,0.7901,True
acting bridge clients,,,0.5609,False
acting emergency,,,0.7107,False
acting emergency situations,http://data.europa.eu/esco/skill/ecf7869e-7d87-478d-9d80-edfdcd39ec52,manage emergency care situations,0.7798,True
action honesty player,,,0.4894,False
action research,http://data.europa.eu/esco/skill/b24b1b8e-bc16-4280-a599-8e2ee1ed962b,action research,1.0,True
actionable,,,0.4977,False
actionable decisions,,,0.6977,False
actionable feedback learn,,,0.5972,False
actionable insights,,,0.5968,False
actionable insights define,,,0.5433,False
actionable insightsability collaborate,,,0.5845,False
actionable recommendations,,,0.5636,False
actionable recommendations data,,,0.4518,False
actionable recommendations enhance,,,0.627,False
actions,,,0.6425,False
actions infrastructure code,,,0.5373,False
actions interacts world,,,0.5627,False
actions support,,,0.6239,False
actions terraform infrastructure,,,0.4996,False
activation,,,0.454,False
active directory,,,0.5218,False
active listening,http://data.europa.eu/esco/skill/a17286c5-238d-4f0b-bc24-29e9121345de,listen actively,0.8408,True
active participation developer,,,0.5376,False
actively,,,0.702,False
actively helping product,,,0.6202,False
actively participate,,,0.6566,False
activities abilities,,,0.6386,False
activities preferably,,,0.6329,False
activities specialize oncology,http://data.europa.eu/esco/skill/a6d728e6-d6ba-424c-ad92-d6831290faf0,medical oncology,0.7689,True
activities strengthen,,,0.5857,False
activities supportive,,,0.5559,False
activitiesudemy business,,,0.6852,False
activity acquiring demonstrating,,,0.6346,False
actual data applying,,,0.6109,False
actually,,,0.3094,False
actuators,,,0.5885,False
actuators modeling physical,,,0.5861,False
actuators use,,,0.5472,False
acumatica,,,0.581,False
acumatica cloud,,,0.5089,False
acumatica erp payable,,,0.4342,False
ad ldap cloud,,,0.7416,False
adaptability,,,0.7001,False
adaptive,,,0.545,False
adaptive chess education,,,0.4648,False
adaptive planful drive,,,0.4856,False
add functionality game,,,0.6343,False
additional,,,0.5318,False
additional chapters,,,0.4242,False
additional chapters action,,,0.4427,False
additional chapters statistics,,,0.5065,False
additional language,,,0.6374,False
additional selected,,,0.4439,False
additional tasks,,,0.6531,False
address աշոտ հովհաննիսյան,,,0.4287,False
addressed,,,0.5272,False
addressed master thesis,,,0.4735,False
addressing,,,0.6367,False
addressing customer inquiries,http://data.europa.eu/esco/skill/cace7a77-38b7-4cdf-8171-e17692bef5f6,respond to customers' inquiries,0.9245,True
addressing inquiries,http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6,respond to inquiries in written form,0.7577,True
addressing inquiries concerns,,,0.7113,False
aderant just letter,,,0.4972,False
adherence practices,,,0.6436,False
adhoq digital performance,,,0.4596,False
adidas ikea,,,0.5405,False
adjarabet largest entertainment,,,0.5113,False
adjustments,,,0.5627,False
adk build,,,0.3704,False
admin,,,0.6383,False
admin experience,,,0.5766,False
administer,,,0.6861,False
administer manage hashicorp,,,0.4897,False
administer oracle,,,0.6046,False
administer troubleshoot microsoft,,,0.5648,False
administering,,,0.6267,False
administering auto dialer,,,0.5052,False
administrate reporting environment,,,0.6881,False
administration,http://data.europa.eu/esco/skill/6a609f8f-1451-4102-ad2d-62c5270e1237,office administration,0.8151,True
administration 19c expertise,,,0.5418,False
administration guidance,,,0.6845,False
administration operating,http://data.europa.eu/esco/skill/e06f3ac6-1d3e-49c6-945d-1a61ca746986,complete administration,0.7567,True
administration operating installation,,,0.6253,False
administration required ongoing,http://data.europa.eu/esco/skill/e06f3ac6-1d3e-49c6-945d-1a61ca746986,complete administration,0.7526,True
administration security management,http://data.europa.eu/esco/skill/6cd29d73-e352-40b4-89c5-cdb3faff0a38,manage the security team,0.7539,True
administration specialist softconstruct,,,0.5489,False
administration support online,,,0.6363,False
administration վարչակազմ location,,,0.6303,False
administrative,http://data.europa.eu/esco/skill/77e7cb08-2c6f-42ab-881b-b34b2318acbe,manage administrative systems,0.7627,True
administrative automation tools,,,0.6835,False
administrative efficiency handle,,,0.6865,False
administrative specialist vbet,,,0.5723,False
administrative tasks,http://data.europa.eu/esco/skill/49ef9f4c-3577-4780-ba2f-d068d1cde7bb,administrative tasks in a medical environment,0.7711,True
administrator,,,0.6511,False
administrator project,,,0.6443,False
ado teamcity jenkins,,,0.5172,False
adobe animate language,,,0.6269,False
adobe believe,,,0.6846,False
adobe creative cloud,http://data.europa.eu/esco/skill/719d8699-a221-4b5a-8fc3-68a8645cbe03,adobe creative suite,0.8129,True
adobe creative suite,http://data.europa.eu/esco/skill/719d8699-a221-4b5a-8fc3-68a8645cbe03,adobe creative suite,1.0,True
adobe effects,,,0.6763,False
adobe photoshop,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,Adobe Photoshop,1.0,True
adobe photoshopstrong sense,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,Adobe Photoshop,0.8303,True
adoption,,,0.6726,False
adoption engineering teams,,,0.5379,False
adoption genai,,,0.464,False
adoption servicetitan data,,,0.5029,False
ads,,,0.6775,False
ads apple,,,0.5891,False
ads products platforms,,,0.6284,False
adso transformations experience,,,0.4114,False
adult,,,0.6459,False
adult online,,,0.5933,False
adult professionals leveraging,,,0.6308,False
advance,,,0.4466,False
advance careers,,,0.562,False
advance collective understanding,,,0.5131,False
advance mission empowering,,,0.5084,False
advanced automation,http://data.europa.eu/esco/skill/f4a6e9f7-5cff-46c0-894c-59c20bb78694,automation technology,0.8613,True
advanced biomedical imaging,,,0.728,False
advanced cad,http://data.europa.eu/esco/skill/a2b5dcf3-5b6a-453d-876c-cff540c0faf1,CAD software,0.844,True
advanced cad cam,,,0.7114,False
advanced calculus,,,0.4431,False
advanced computeraided programming,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,0.8173,True
advanced geostatistical,,,0.5881,False
advanced microsoft excel,,,0.6429,False
advanced ml generative,,,0.5516,False
advanced online booking,http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e,arrange bookings,0.7703,True
advanced sap certifications,,,0.6555,False
advanced silicon technologies,,,0.5647,False
advanced statistical,,,0.6736,False
advanced statistical modeling,http://data.europa.eu/esco/skill/68ef0e4d-5542-4e64-84f4-752cce5a3c22,statistical modeling techniques,0.7624,True
advancements,,,0.5588,False
advancements ai,,,0.584,False
advancements artificial,,,0.4847,False
advancing development,,,0.6995,False
advantage,,,0.4522,False
advantage github actions,,,0.3817,False
advantage information technology,,,0.5757,False
advantage marketplace course,,,0.4987,False
advantageautocadrhinoceroscoreldraw3ds max proficiency,,,0.3774,False
advantages disadvantages various,,,0.4048,False
advantages priority,,,0.5696,False
adversarial,,,0.5225,False
adversarial allowing alliances,,,0.5815,False
adversarial networks,,,0.51,False
advertising,http://data.europa.eu/esco/skill/aba1f05b-f312-47d8-be71-7c574134de8f,advertising techniques,0.8302,True
advertising creatives,,,0.6613,False
advertising videos,,,0.6981,False
advice guidance,,,0.5798,False
advise stakeholders cloud,,,0.6314,False
advising,,,0.68,False
advising instructor,,,0.5804,False
advising scheduled,,,0.6227,False
advisor clients responsibilities,,,0.6109,False
advisor dfm engineer,,,0.4491,False
advisory,,,0.453,False
advocate,http://data.europa.eu/esco/skill/14d133af-6662-490e-9716-a4cc1e26676a,advocate a cause,0.7979,True
advocating enablers architectural,,,0.5331,False
aerospace,http://data.europa.eu/esco/skill/5dd96c59-5955-474b-8cf5-e986a5b50f1a,aerospace engineering,0.9138,True
aerospace automotive requirements,,,0.6835,False
aerospace propulsion systems,http://data.europa.eu/esco/skill/f774cc69-f0cf-4767-bf13-9b16dc7f7c07,operate ship propulsion system,0.7536,True
aerospace vehicles atmospheric,,,0.5744,False
aesthetic,http://data.europa.eu/esco/skill/6db3ac8e-8636-4ced-965b-75e35c3193c3,aesthetics,0.9143,True
aesthetic medical equipment,,,0.6883,False
aesthetic sense looking,,,0.7248,False
aestheticmarketing joinourteam videography,,,0.5787,False
affairs,,,0.666,False
affectionately refer aggregate,,,0.4351,False
affiliate,,,0.4661,False
affiliate manager tier,,,0.457,False
affiliate manager vbet,,,0.4521,False
affiliate marketing,,,0.6145,False
affiliate performance metrics,,,0.5043,False
affiliate programs,,,0.507,False
affiliate programs partnermatrix,,,0.4389,False
affiliate tracking,,,0.5577,False
affiliates,,,0.5446,False
affiliates publishers experience,,,0.6498,False
afflictions,,,0.514,False
affordability tier leadership,,,0.5423,False
africa,,,0.6565,False
age formal,,,0.5107,False
aged,,,0.541,False
aged 16,,,0.4628,False
agencies,,,0.6289,False
agencies real ai,,,0.4682,False
agencies tour operators,,,0.5987,False
agency focused seo,,,0.4848,False
agency freelance house,,,0.4891,False
agent,,,0.5097,False
agent automates job,,,0.5117,False
agent continuous,,,0.4456,False
agent environment,,,0.4983,False
agent execution integrations,,,0.4541,False
agent platform team,,,0.5476,False
agent workflows experience,,,0.4974,False
agent workflows improve,,,0.5625,False
agentic,,,0.4832,False
agentic ai,,,0.5798,False
agentic applications tool,,,0.5023,False
agentic product owner,,,0.4521,False
agents,,,0.5593,False
agents automate data,,,0.5018,False
agents llms recommendation,,,0.5346,False
agentscontribute infrastructure,,,0.4499,False
aggregate,,,0.4918,False
aggregator custody crypto,,,0.4533,False
agile,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.9118,True
agile delivery,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.7546,True
agile environment mission,,,0.7404,False
agile environments,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.8319,True
agile framework support,,,0.7215,False
agile frameworkssolid knowledge,,,0.6564,False
agile methodologies,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.8286,True
agile methodology,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.8576,True
agile methodology scrum,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.7866,True
agile principles lean,,,0.6642,False
agile scrum,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.8461,True
agile scrum ceremonies,,,0.6156,False
agile scrum squad,,,0.7036,False
agile scrum team,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.8009,True
agile software,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.9035,True
agile software design,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.8673,True
agile software development,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.957,True
agile sprint,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.807,True
agile waterfall devops,http://data.europa.eu/esco/skill/6a876489-7ad8-4a13-b09c-c9b8e97a302e,Waterfall development,0.7719,True
agoda supply ecosystem,,,0.4524,False
agree privacy policy,,,0.6743,False
agreement,,,0.6263,False
agreements,,,0.728,False
agreements ndas ensuring,,,0.6056,False
agreements proficiency english,,,0.6058,False
agricultural,,,0.7323,False
agriculture,http://data.europa.eu/esco/skill/dd5451c6-a006-4218-bf94-348d81bed42f,conservation agriculture,0.7603,True
agriculture environmental monitoring,,,0.7325,False
ahead,,,0.4547,False
ahead curve,,,0.4302,False
ahead curve specializing,,,0.4527,False
aheadutilise data analytics,,,0.6362,False
ahrefs semrush,,,0.4367,False
ahrefs seo tools,,,0.4416,False
ai acceleration,,,0.5139,False
ai accounting operations,http://data.europa.eu/esco/skill/f5652e8e-7e25-4f3a-bd31-509c8406213f,supervise accounting operations,0.753,True
ai adoption,,,0.4743,False
ai adoption intern,,,0.4131,False
ai agent,,,0.5653,False
ai agentic,,,0.5295,False
ai agents,,,0.5728,False
ai app makes,,,0.5142,False
ai applications,,,0.5683,False
ai applications chatbots,,,0.4811,False
ai applications team,,,0.5033,False
ai assistants gaming,,,0.5894,False
ai assisted,,,0.5503,False
ai assisted contract,,,0.5485,False
ai assisted development,,,0.5428,False
ai assisted tools,,,0.6028,False
ai augmented workflows,,,0.5267,False
ai automation,,,0.7295,False
ai automation engineer,,,0.7311,False
ai backend infrastructure,,,0.4853,False
ai business agent,,,0.5694,False
ai calculations tests,,,0.5018,False
ai capabilities,,,0.6122,False
ai capability,,,0.6211,False
ai capability create,,,0.5075,False
ai center,,,0.4558,False
ai center excellence,,,0.4342,False
ai cloud native,,,0.5446,False
ai coding assistants,,,0.5285,False
ai companies network,,,0.6183,False
ai companionship,,,0.4522,False
ai company rethink,,,0.5119,False
ai components,,,0.6164,False
ai cursor,,,0.4092,False
ai cursor unity,,,0.3706,False
ai data,,,0.5986,False
ai data governance,,,0.5507,False
ai data specialists,,,0.6096,False
ai deployments working,,,0.6015,False
ai developers energy,,,0.5188,False
ai driven,,,0.5621,False
ai driven cybersecurity,,,0.5832,False
ai driven testing,,,0.6069,False
ai enabled products,,,0.5137,False
ai enabled workflows,,,0.5044,False
ai engineer lead,,,0.6225,False
ai engineering mindset,,,0.5205,False
ai enhanced rankingperform,,,0.4066,False
ai enhanced visuals,,,0.557,False
ai enthusiasts curious,,,0.5195,False
ai ethics,,,0.7164,False
ai european saas,,,0.4669,False
ai expertise lead,,,0.62,False
ai fp workflows,,,0.5583,False
ai framework need,,,0.5962,False
ai frameworksmentor,,,0.5942,False
ai genai,,,0.3973,False
ai generated content,,,0.5265,False
ai generative,,,0.5055,False
ai generative models,,,0.5422,False
ai gke bigquery,,,0.3804,False
ai graphics teams,,,0.5677,False
ai helps,,,0.5466,False
ai infrastructure,,,0.5932,False
ai initiatives,,,0.5642,False
ai initiatives engineering,,,0.6017,False
ai innodata offers,,,0.3575,False
ai insightso ethical,,,0.6182,False
ai integration proficiency,,,0.5842,False
ai labs enterprise,,,0.5139,False
ai legacy environments,,,0.4836,False
ai llms,,,0.4316,False
ai ml,,,0.7049,False
ai ml business,,,0.6424,False
ai ml engineer,,,0.7253,False
ai ml services,,,0.6517,False
ai ml testing,,,0.5945,False
ai models,,,0.6608,False
ai native,,,0.4959,False
ai native finance,,,0.4956,False
ai native financial,,,0.5529,False
ai necessity,,,0.6086,False
ai openai api,,,0.4169,False
ai platforms architect,,,0.6135,False
ai playrix,,,0.4225,False
ai playrix https,,,0.3715,False
ai powered,,,0.4965,False
ai powered development,,,0.5537,False
ai powered patch,,,0.4255,False
ai powered tools,,,0.6665,False
ai powered workflows,,,0.5797,False
ai product,,,0.5792,False
ai product marketsresearching,,,0.5616,False
ai project milestones,,,0.5341,False
ai python engineer,,,0.6904,False
ai recommendation systems,,,0.5544,False
ai services,,,0.5465,False
ai solution architect,,,0.506,False
ai solutions azure,,,0.4574,False
ai solutions cloud,,,0.5961,False
ai solutions conduct,,,0.45,False
ai solutions deploy,,,0.7403,False
ai solutions finservices,,,0.4811,False
ai technologies responsibilities,,,0.547,False
ai technology offer,,,0.5142,False
ai testing tools,,,0.6645,False
ai tools,,,0.6259,False
ai tools chatgpt,,,0.4703,False
ai tools enhance,,,0.5398,False
ai tools midjourney,,,0.5278,False
ai trading,,,0.6356,False
ai trading startup,,,0.5787,False
ai trends,,,0.5343,False
ai trends reach,,,0.5453,False
ai understands engaging,,,0.4645,False
ai visual,,,0.6193,False
ai visual specialist,,,0.5662,False
ai workflows development,,,0.6677,False
aid,http://data.europa.eu/esco/skill/8894e128-e6d1-4cb3-8f92-e7b5c9eaf774,humanitarian aid,0.7581,True
aid case,,,0.7163,False
aid event,,,0.6856,False
aid event possible,,,0.6508,False
aid population emergency,,,0.6032,False
aided,,,0.4635,False
aided design,,,0.6532,False
aided design design,,,0.6824,False
aided design fundamentals,,,0.6281,False
aided design tools,,,0.6353,False
aided manufacturing,,,0.704,False
aided manufacturing introduction,,,0.693,False
aided programming,,,0.695,False
aids conferencing systems,,,0.5749,False
aim,,,0.4239,False
aim applied,,,0.3969,False
aim applied aspects,,,0.4576,False
aim course,,,0.4101,False
aim hire participants,,,0.5144,False
aim impart,,,0.4245,False
aim issues,,,0.418,False
aim main,,,0.3851,False
aim numerical,,,0.4968,False
aim regarding,,,0.421,False
aim semantic,,,0.6341,False
aim semantics,http://data.europa.eu/esco/skill/e6ee5bb8-12b9-4e60-8baf-102d0c4f1da5,semantics,0.7571,True
aim semantics procedural,,,0.6545,False
aim technologies,,,0.5558,False
aim types,,,0.4783,False
aims,,,0.4784,False
aims insight,,,0.5025,False
air,,,0.5526,False
air breathing engines,,,0.5903,False
airbnb uber effective,,,0.4324,False
airflow,,,0.6956,False
airflow knowledge,,,0.6192,False
ajax awarded security,,,0.6037,False
alert,http://data.europa.eu/esco/skill/74aa45cf-175f-47ef-9978-d9de437d92ba,stay alert,0.8109,True
alert logic investigate,,,0.6284,False
alexis soulopoulos ceo,,,0.3172,False
alfa pharm marketing,,,0.5378,False
algebra,http://data.europa.eu/esco/skill/55e910e4-736d-44cf-bfa9-b15adc5d91d2,algebra,1.0,True
algebra applications teach,,,0.6809,False
