course_id,university,course_name,has_description,llm_skills,rater_verdict,notes
982,National University of Architecture and Construction of Armenia,Descriptive Geometry,False,"['Auxiliary Views', 'Cross-Section Analysis', 'Descriptive Geometry', 'Orthographic Projection', 'Plane Geometry', 'Point and Line Intersection', 'Spatial Reasoning', 'Technical Drawing']",,
1076,National University of Architecture and Construction of Armenia,System Modelling,False,"['Data Flow Diagrams', 'Entity-Relationship Modeling', 'Formal Specification', 'Requirements Analysis', 'State Machines', 'System Architecture', 'UML Diagrams']",,
1135,Russian-Armenian University,Theory of Algorithms and Mathematical Logic,False,"['Algorithm Analysis', 'Big-O Notation', 'Computational Complexity Theory', 'Predicate Logic', 'Proof Techniques', 'Propositional Logic', 'Recursion', 'Turing Machines']",,
1141,Russian-Armenian University,Computer Science Specialization,False,"['Algorithms', 'Computational Thinking', 'Computer Architecture', 'Data Structures', 'Discrete Mathematics', 'Object-Oriented Programming', 'Operating Systems']",,
1151,Russian-Armenian University,Computer Networks,False,"['DNS', 'HTTP', 'Network Protocols', 'Network Security', 'OSI Model', 'Routing Algorithms', 'Socket Programming', 'TCP/IP']",,
1150,Russian-Armenian University,Network Flows,False,"['Flow Algorithms', 'Ford-Fulkerson Algorithm', 'Graph Theory', 'Linear Programming', 'Minimum Cost Flow', 'Network Optimization', 'Shortest Path Algorithms']",,
1126,Russian-Armenian University,Operating Systems,False,"['C', 'Concurrency', 'File Systems', 'Memory Management', 'Process Management', 'Scheduling Algorithms', 'Synchronization']",,
1196,Université Française en Arménie,Systems 2,False,"['Assembly Language', 'Computer Architecture', 'Digital Logic Design', 'Input/Output Systems', 'Instruction Set Architecture', 'Memory Management', 'Processor Design']",,
1162,Université Française en Arménie,Calculus 1,False,"['Continuity', 'Derivatives', 'Differential Calculus', 'Functions', 'Integration', 'Limits']",,
1197,Université Française en Arménie,Computer Architecture 3,False,"['Branch Prediction', 'Cache Memory', 'Instruction-Level Parallelism', 'Memory Hierarchies', 'Multiprocessor Systems', 'Performance Analysis', 'Pipelining', 'RISC Architecture']",,
1174,Université Française en Arménie,Applied Statistics,False,"['Data Analysis', 'Descriptive Statistics', 'Hypothesis Testing', 'Probability Theory', 'R', 'Regression Analysis', 'Statistical Inference']",,
1172,Université Française en Arménie,Introduction to Low-Code/No-Code Development,False,"['API Integration', 'Business Logic Configuration', 'Database Design', 'User Interface Design', 'Visual Application Development', 'Workflow Automation']",,
256,Yerevan State University,Mathematical Analysis - 2,True,"['Differential Equations', 'Line Integrals', 'Multiple Integrals', 'Multivariable Calculus', 'Partial Derivatives', 'Series Convergence', 'Vector Calculus']",,
580,Yerevan State University,Fundamentals of Programming - 1,True,"['Basic Input/Output', 'Control Flow', 'Debugging', 'Functions', 'Loops', 'Python', 'Variables and Data Types']",,
319,Yerevan State University,Theory of Algorithms,True,"['Algorithm Analysis', 'Big-O Notation', 'Computational Complexity Theory', 'Dynamic Programming', 'Graph Algorithms', 'Greedy Algorithms', 'Recursion', 'Sorting Algorithms']",,
648,Yerevan State University,Electricity and Magnetism - 2,True,"['Boundary Conditions', 'Electromagnetic Potentials', 'Electromagnetic Wave', ""Maxwell's Equations"", 'Radiation Theory', 'Special Relativity in Electromagnetism', 'Wave Propagation']",,
1461,Yerevan State University,Mathematical Foundations of Blockchain,False,"['Consensus Algorithms', 'Digital Signatures', 'Elliptic Curve Cryptography', 'Hash Functions', 'Merkle Trees', 'Number Theory', 'Public Key Cryptography']",,
