experiment,experiment_label,university,program,degree,relevant_roles,n_program_skills,n_job_skills,n_overlap,full_coverage_pct,role_coverage_pct,role_n_overlap,role_n_job_skills,n_gap,n_surplus
E1_tfidf,E1: TF-IDF baseline,National Polytechnic University of Armenia,Information Technologies,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",23,2862,19,0.66,0.66,19.0,2862.0,2843,4
E1_tfidf,E1: TF-IDF baseline,National Polytechnic University of Armenia,Software Engineering,Bachelor,"Software Engineering, QA / Testing",50,2862,31,1.08,1.7,28.0,1647.0,2831,19
E1_tfidf,E1: TF-IDF baseline,National Polytechnic University of Armenia,Software Engineering,Master,"Software Engineering, QA / Testing",54,2862,35,1.22,1.7,28.0,1647.0,2827,19
E1_tfidf,E1: TF-IDF baseline,National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,"Data / ML / AI, IT Support / Admin / ERP",24,2862,8,0.28,0.65,6.0,925.0,2854,16
E1_tfidf,E1: TF-IDF baseline,National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",61,2862,27,0.94,0.94,27.0,2862.0,2835,34
E1_tfidf,E1: TF-IDF baseline,National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",39,2862,23,0.8,0.8,23.0,2862.0,2839,16
E1_tfidf,E1: TF-IDF baseline,National University of Architecture and Construction of Armenia,Information Systems,Bachelor,"IT Support / Admin / ERP, Software Engineering",48,2862,24,0.84,1.13,19.0,1677.0,2838,24
E1_tfidf,E1: TF-IDF baseline,National University of Architecture and Construction of Armenia,Project Management (in Information Technologies),Master,"Technical Management, IT Support / Admin / ERP",32,2862,16,0.56,0.96,6.0,627.0,2846,16
E1_tfidf,E1: TF-IDF baseline,Russian-Armenian University,Applied Mathematics and Informatics,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",48,2862,22,0.77,0.77,22.0,2862.0,2840,26
E1_tfidf,E1: TF-IDF baseline,Université Française en Arménie,Computer Science,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",56,2862,33,1.15,1.15,33.0,2862.0,2829,23
E1_tfidf,E1: TF-IDF baseline,Université Française en Arménie,MS in Computer Science - Artificial Intelligence: Foundations and Applications,Master,"Data / ML / AI, Software Engineering",31,2862,25,0.87,1.24,23.0,1850.0,2837,6
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Applied Statistics and Data Science,Bachelor,Data / ML / AI,74,2862,27,0.94,3.04,19.0,625.0,2835,47
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Applied Statistics and Data Science,Master,Data / ML / AI,42,2862,18,0.63,2.08,13.0,625.0,2844,24
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Blockchain and Digital Currencies,Master,"Software Engineering, Data / ML / AI",20,2862,10,0.35,0.54,10.0,1850.0,2852,10
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Data Processing in Physics and Artificial Intelligence,Bachelor,Data / ML / AI,105,2862,32,1.12,3.2,20.0,625.0,2830,73
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Data Science in Business,Master,Data / ML / AI,35,2862,25,0.87,3.52,22.0,625.0,2837,10
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Discrete Mathematics and Theoretical Informatics,Master,"Data / ML / AI, Software Engineering",44,2862,22,0.77,1.08,20.0,1850.0,2840,22
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Informatics and Applied Mathematics,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",96,2862,25,0.87,0.87,25.0,2862.0,2837,71
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Informatics and Applied Mathematics (Part time),Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",98,2862,25,0.87,0.87,25.0,2862.0,2837,73
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Information Security,Bachelor,Security,83,2862,31,1.08,3.54,4.0,113.0,2831,52
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Information Systems Development,Master,"IT Support / Admin / ERP, Software Engineering",54,2862,31,1.08,1.55,26.0,1677.0,2831,23
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Information Systems Management,Master,"IT Support / Admin / ERP, Technical Management",47,2862,25,0.87,1.91,12.0,627.0,2837,22
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,"Mathematical and Software Development of Computing Machines, Complexes, Systems and Networks",Master,"Software Engineering, DevOps / Cloud",44,2862,25,0.87,0.96,16.0,1671.0,2837,19
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Numerical Analysis and Mathematical Modelling,Master,"Data / ML / AI, Software Engineering",42,2862,18,0.63,0.86,16.0,1850.0,2844,24
E1_tfidf,E1: TF-IDF baseline,Yerevan State University,Radiophysics and Computer Technology,Bachelor,Hardware / Embedded,106,2862,33,1.15,5.66,9.0,159.0,2829,73
E1b_keybert,E1b: KeyBERT baseline,American University of Armenia,Computer Science,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",44,4154,10,0.24,0.24,10.0,4154.0,4144,34
E1b_keybert,E1b: KeyBERT baseline,American University of Armenia,Computer and Information Science,Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",63,4154,11,0.26,0.26,11.0,4154.0,4143,52
E1b_keybert,E1b: KeyBERT baseline,American University of Armenia,Data Science,Bachelor,Data / ML / AI,67,4154,10,0.24,1.1,9.0,818.0,4144,57
E1b_keybert,E1b: KeyBERT baseline,American University of Armenia,Engineering Sciences,Bachelor,"Hardware / Embedded, Software Engineering",39,4154,4,0.1,0.15,3.0,1957.0,4150,35
E1b_keybert,E1b: KeyBERT baseline,American University of Armenia,Environmental and Sustainability Sciences,Bachelor,unmapped,70,4154,1,0.02,,,,4153,69
E1b_keybert,E1b: KeyBERT baseline,American University of Armenia,General Education,General,unmapped,38,4154,5,0.12,,,,4149,33
E1b_keybert,E1b: KeyBERT baseline,American University of Armenia,Industrial Engineering and Systems Management,Master,"IT Support / Admin / ERP, Technical Management",74,4154,10,0.24,0.28,2.0,720.0,4144,64
E1b_keybert,E1b: KeyBERT baseline,National Polytechnic University of Armenia,Computer Engineering,Bachelor,"Hardware / Embedded, Software Engineering",94,4154,7,0.17,0.2,4.0,1957.0,4147,87
E1b_keybert,E1b: KeyBERT baseline,National Polytechnic University of Armenia,Computer Engineering,Master,"Hardware / Embedded, Software Engineering",71,4154,8,0.19,0.2,4.0,1957.0,4146,63
E1b_keybert,E1b: KeyBERT baseline,National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",40,4154,3,0.07,0.07,3.0,4154.0,4151,37
E1b_keybert,E1b: KeyBERT baseline,National Polytechnic University of Armenia,Informatics (Computer Science),Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",64,4154,0,0.0,0.0,0.0,4154.0,4154,64
E1b_keybert,E1b: KeyBERT baseline,National Polytechnic University of Armenia,Information Security,Bachelor,Security,66,4154,12,0.29,1.28,2.0,156.0,4142,54
E1b_keybert,E1b: KeyBERT baseline,National Polytechnic University of Armenia,Information Systems,Bachelor,"IT Support / Admin / ERP, Software Engineering",87,4154,14,0.34,0.48,10.0,2071.0,4140,73
E1b_keybert,E1b: KeyBERT baseline,National Polytechnic University of Armenia,Information Systems,Master,"IT Support / Admin / ERP, Software Engineering",73,4154,11,0.26,0.34,7.0,2071.0,4143,62
E1b_keybert,E1b: KeyBERT baseline,National Polytechnic University of Armenia,Information Technologies,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",47,4154,11,0.26,0.26,11.0,4154.0,4143,36
E1b_keybert,E1b: KeyBERT baseline,National Polytechnic University of Armenia,Software Engineering,Bachelor,"Software Engineering, QA / Testing",92,4154,20,0.48,0.89,18.0,2028.0,4134,72
E1b_keybert,E1b: KeyBERT baseline,National Polytechnic University of Armenia,Software Engineering,Master,"Software Engineering, QA / Testing",109,4154,20,0.48,0.64,13.0,2028.0,4134,89
E1b_keybert,E1b: KeyBERT baseline,National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,"Data / ML / AI, IT Support / Admin / ERP",34,4154,0,0.0,0.0,0.0,1188.0,4154,34
E1b_keybert,E1b: KeyBERT baseline,National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",70,4154,13,0.31,0.31,13.0,4154.0,4141,57
E1b_keybert,E1b: KeyBERT baseline,National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",61,4154,7,0.17,0.17,7.0,4154.0,4147,54
E1b_keybert,E1b: KeyBERT baseline,National University of Architecture and Construction of Armenia,Information Systems,Bachelor,"IT Support / Admin / ERP, Software Engineering",77,4154,8,0.19,0.24,5.0,2071.0,4146,69
E1b_keybert,E1b: KeyBERT baseline,National University of Architecture and Construction of Armenia,Project Management (in Information Technologies),Master,"Technical Management, IT Support / Admin / ERP",59,4154,14,0.34,0.56,4.0,720.0,4140,45
E1b_keybert,E1b: KeyBERT baseline,Russian-Armenian University,Applied Mathematics and Informatics,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",69,4154,4,0.1,0.1,4.0,4154.0,4150,65
E1b_keybert,E1b: KeyBERT baseline,Université Française en Arménie,Computer Science,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",109,4154,11,0.26,0.26,11.0,4154.0,4143,98
E1b_keybert,E1b: KeyBERT baseline,Université Française en Arménie,MS in Computer Science - Artificial Intelligence: Foundations and Applications,Master,"Data / ML / AI, Software Engineering",49,4154,10,0.24,0.33,8.0,2445.0,4144,39
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Applied Statistics and Data Science,Bachelor,Data / ML / AI,66,4154,6,0.14,0.49,4.0,818.0,4148,60
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Applied Statistics and Data Science,Master,Data / ML / AI,41,4154,6,0.14,0.49,4.0,818.0,4148,35
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Blockchain and Digital Currencies,Master,"Software Engineering, Data / ML / AI",41,4154,6,0.14,0.12,3.0,2445.0,4148,35
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Data Processing in Physics and Artificial Intelligence,Bachelor,Data / ML / AI,149,4154,10,0.24,0.49,4.0,818.0,4144,139
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Data Science in Business,Master,Data / ML / AI,59,4154,16,0.39,1.34,11.0,818.0,4138,43
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Discrete Mathematics and Theoretical Informatics,Master,"Data / ML / AI, Software Engineering",68,4154,11,0.26,0.29,7.0,2445.0,4143,57
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Informatics and Applied Mathematics,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",93,4154,3,0.07,0.07,3.0,4154.0,4151,90
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Informatics and Applied Mathematics (Part time),Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",95,4154,3,0.07,0.07,3.0,4154.0,4151,92
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Information Security,Bachelor,Security,83,4154,6,0.14,1.28,2.0,156.0,4148,77
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Information Systems Development,Master,"IT Support / Admin / ERP, Software Engineering",75,4154,22,0.53,0.68,14.0,2071.0,4132,53
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Information Systems Management,Master,"IT Support / Admin / ERP, Technical Management",72,4154,14,0.34,0.42,3.0,720.0,4140,58
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,"Mathematical and Software Development of Computing Machines, Complexes, Systems and Networks",Master,"Software Engineering, DevOps / Cloud",81,4154,18,0.43,0.52,11.0,2109.0,4136,63
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Numerical Analysis and Mathematical Modelling,Master,"Data / ML / AI, Software Engineering",66,4154,7,0.17,0.2,5.0,2445.0,4147,59
E1b_keybert,E1b: KeyBERT baseline,Yerevan State University,Radiophysics and Computer Technology,Bachelor,Hardware / Embedded,205,4154,12,0.29,1.46,4.0,274.0,4142,193
E2_llm,E2: LLM names-only (fair),American University of Armenia,Computer Science,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",274,1601,57,3.56,3.56,57.0,1601.0,1544,217
E2_llm,E2: LLM names-only (fair),American University of Armenia,Computer and Information Science,Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",299,1601,74,4.62,4.62,74.0,1601.0,1527,225
E2_llm,E2: LLM names-only (fair),American University of Armenia,Data Science,Bachelor,Data / ML / AI,172,1601,47,2.94,10.54,37.0,351.0,1554,125
E2_llm,E2: LLM names-only (fair),American University of Armenia,Engineering Sciences,Bachelor,"Hardware / Embedded, Software Engineering",188,1601,15,0.94,1.03,8.0,774.0,1586,173
E2_llm,E2: LLM names-only (fair),American University of Armenia,Environmental and Sustainability Sciences,Bachelor,unmapped,74,1601,6,0.37,,,,1595,68
E2_llm,E2: LLM names-only (fair),American University of Armenia,General Education,General,unmapped,97,1601,17,1.06,,,,1584,80
E2_llm,E2: LLM names-only (fair),American University of Armenia,Industrial Engineering and Systems Management,Master,"IT Support / Admin / ERP, Technical Management",160,1601,38,2.37,4.93,22.0,446.0,1563,122
E2_llm,E2: LLM names-only (fair),National Polytechnic University of Armenia,Computer Engineering,Bachelor,"Hardware / Embedded, Software Engineering",118,1601,22,1.37,1.94,15.0,774.0,1579,96
E2_llm,E2: LLM names-only (fair),National Polytechnic University of Armenia,Computer Engineering,Master,"Hardware / Embedded, Software Engineering",107,1601,26,1.62,2.07,16.0,774.0,1575,81
E2_llm,E2: LLM names-only (fair),National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",167,1601,27,1.69,1.69,27.0,1601.0,1574,140
E2_llm,E2: LLM names-only (fair),National Polytechnic University of Armenia,Informatics (Computer Science),Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",80,1601,6,0.37,0.37,6.0,1601.0,1595,74
E2_llm,E2: LLM names-only (fair),National Polytechnic University of Armenia,Information Security,Bachelor,Security,104,1601,38,2.37,10.89,11.0,101.0,1563,66
E2_llm,E2: LLM names-only (fair),National Polytechnic University of Armenia,Information Systems,Bachelor,"IT Support / Admin / ERP, Software Engineering",154,1601,35,2.19,2.68,23.0,858.0,1566,119
E2_llm,E2: LLM names-only (fair),National Polytechnic University of Armenia,Information Systems,Master,"IT Support / Admin / ERP, Software Engineering",94,1601,26,1.62,1.86,16.0,858.0,1575,68
E2_llm,E2: LLM names-only (fair),National Polytechnic University of Armenia,Information Technologies,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",127,1601,45,2.81,2.81,45.0,1601.0,1556,82
E2_llm,E2: LLM names-only (fair),National Polytechnic University of Armenia,Software Engineering,Bachelor,"Software Engineering, QA / Testing",183,1601,53,3.31,6.2,46.0,742.0,1548,130
E2_llm,E2: LLM names-only (fair),National Polytechnic University of Armenia,Software Engineering,Master,"Software Engineering, QA / Testing",185,1601,61,3.81,5.39,40.0,742.0,1540,124
E2_llm,E2: LLM names-only (fair),National University of Architecture and Construction of Armenia,Geographic Information Systems,Master,"Data / ML / AI, IT Support / Admin / ERP",73,1601,7,0.44,0.86,5.0,584.0,1594,66
E2_llm,E2: LLM names-only (fair),National University of Architecture and Construction of Armenia,Informatics (Computer Science),Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",198,1601,38,2.37,2.37,38.0,1601.0,1563,160
E2_llm,E2: LLM names-only (fair),National University of Architecture and Construction of Armenia,Informatics (Computer Science),Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",105,1601,29,1.81,1.81,29.0,1601.0,1572,76
E2_llm,E2: LLM names-only (fair),National University of Architecture and Construction of Armenia,Information Systems,Bachelor,"IT Support / Admin / ERP, Software Engineering",156,1601,33,2.06,2.68,23.0,858.0,1568,123
E2_llm,E2: LLM names-only (fair),National University of Architecture and Construction of Armenia,Project Management (in Information Technologies),Master,"Technical Management, IT Support / Admin / ERP",102,1601,44,2.75,4.04,18.0,446.0,1557,58
E2_llm,E2: LLM names-only (fair),Russian-Armenian University,Applied Mathematics and Informatics,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",189,1601,23,1.44,1.44,23.0,1601.0,1578,166
E2_llm,E2: LLM names-only (fair),Université Française en Arménie,Computer Science,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",294,1601,55,3.44,3.44,55.0,1601.0,1546,239
E2_llm,E2: LLM names-only (fair),Université Française en Arménie,MS in Computer Science - Artificial Intelligence: Foundations and Applications,Master,"Data / ML / AI, Software Engineering",107,1601,26,1.62,2.71,24.0,886.0,1575,81
E2_llm,E2: LLM names-only (fair),Yerevan State University,Applied Statistics and Data Science,Bachelor,Data / ML / AI,223,1601,21,1.31,5.13,18.0,351.0,1580,202
E2_llm,E2: LLM names-only (fair),Yerevan State University,Applied Statistics and Data Science,Master,Data / ML / AI,150,1601,30,1.87,7.41,26.0,351.0,1571,120
E2_llm,E2: LLM names-only (fair),Yerevan State University,Blockchain and Digital Currencies,Master,"Software Engineering, Data / ML / AI",69,1601,11,0.69,0.9,8.0,886.0,1590,58
E2_llm,E2: LLM names-only (fair),Yerevan State University,Data Processing in Physics and Artificial Intelligence,Bachelor,Data / ML / AI,245,1601,22,1.37,3.7,13.0,351.0,1579,223
E2_llm,E2: LLM names-only (fair),Yerevan State University,Data Science in Business,Master,Data / ML / AI,102,1601,42,2.62,9.12,32.0,351.0,1559,60
E2_llm,E2: LLM names-only (fair),Yerevan State University,Discrete Mathematics and Theoretical Informatics,Master,"Data / ML / AI, Software Engineering",135,1601,17,1.06,1.35,12.0,886.0,1584,118
E2_llm,E2: LLM names-only (fair),Yerevan State University,Informatics and Applied Mathematics,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",201,1601,29,1.81,1.81,29.0,1601.0,1572,172
E2_llm,E2: LLM names-only (fair),Yerevan State University,Informatics and Applied Mathematics (Part time),Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",206,1601,23,1.44,1.44,23.0,1601.0,1578,183
E2_llm,E2: LLM names-only (fair),Yerevan State University,Information Security,Bachelor,Security,229,1601,38,2.37,10.89,11.0,101.0,1563,191
E2_llm,E2: LLM names-only (fair),Yerevan State University,Information Systems Development,Master,"IT Support / Admin / ERP, Software Engineering",137,1601,56,3.5,4.55,39.0,858.0,1545,81
E2_llm,E2: LLM names-only (fair),Yerevan State University,Information Systems Management,Master,"IT Support / Admin / ERP, Technical Management",142,1601,55,3.44,4.71,21.0,446.0,1546,87
E2_llm,E2: LLM names-only (fair),Yerevan State University,"Mathematical and Software Development of Computing Machines, Complexes, Systems and Networks",Master,"Software Engineering, DevOps / Cloud",142,1601,32,2.0,2.12,17.0,802.0,1569,110
E2_llm,E2: LLM names-only (fair),Yerevan State University,Numerical Analysis and Mathematical Modelling,Master,"Data / ML / AI, Software Engineering",120,1601,12,0.75,1.24,11.0,886.0,1589,108
E2_llm,E2: LLM names-only (fair),Yerevan State University,Radiophysics and Computer Technology,Bachelor,Hardware / Embedded,320,1601,24,1.5,2.67,4.0,150.0,1577,296
E5_hybrid_T1,E5: Hybrid Tier-1 only,American University of Armenia,Computer Science,Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",28,1601,7,0.44,0.44,7.0,1601.0,1594,21
E5_hybrid_T1,E5: Hybrid Tier-1 only,American University of Armenia,Computer and Information Science,Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",38,1601,11,0.69,0.69,11.0,1601.0,1590,27
E5_hybrid_T1,E5: Hybrid Tier-1 only,American University of Armenia,Data Science,Bachelor,Data / ML / AI,27,1601,9,0.56,1.99,7.0,351.0,1592,18
E5_hybrid_T1,E5: Hybrid Tier-1 only,American University of Armenia,Engineering Sciences,Bachelor,"Hardware / Embedded, Software Engineering",23,1601,3,0.19,0.13,1.0,774.0,1598,20
E5_hybrid_T1,E5: Hybrid Tier-1 only,American University of Armenia,Environmental and Sustainability Sciences,Bachelor,unmapped,18,1601,1,0.06,,,,1600,17
E5_hybrid_T1,E5: Hybrid Tier-1 only,American University of Armenia,General Education,General,unmapped,14,1601,4,0.25,,,,1597,10
E5_hybrid_T1,E5: Hybrid Tier-1 only,American University of Armenia,Industrial Engineering and Systems Management,Master,"IT Support / Admin / ERP, Technical Management",32,1601,3,0.19,0.45,2.0,446.0,1598,29
E5_hybrid_T1,E5: Hybrid Tier-1 only,National Polytechnic University of Armenia,Computer Engineering,Bachelor,"Hardware / Embedded, Software Engineering",23,1601,4,0.25,0.0,0.0,774.0,1597,19
E5_hybrid_T1,E5: Hybrid Tier-1 only,National Polytechnic University of Armenia,Computer Engineering,Master,"Hardware / Embedded, Software Engineering",19,1601,5,0.31,0.13,1.0,774.0,1596,14
E5_hybrid_T1,E5: Hybrid Tier-1 only,National Polytechnic University of Armenia,Informatics (Computer Science),Bachelor,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",27,1601,3,0.19,0.19,3.0,1601.0,1598,24
E5_hybrid_T1,E5: Hybrid Tier-1 only,National Polytechnic University of Armenia,Informatics (Computer Science),Master,"Software Engineering, Hardware / Embedded, IT Support / Admin / ERP, DevOps / Cloud, Data / ML / AI, Security, QA / Testing, Technical Management, UX / Product Design",26,1601,4,0.25,0.25,4.0,1601.0,1597,22
